ticker,date,free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_debt,issuance_of_capital_stock,capital_expenditure,interest_paid_supplemental_data,income_tax_paid_supplemental_data,end_cash_position,beginning_cash_position,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,cash_dividends_paid,common_stock_dividend_paid,net_common_stock_issuance,common_stock_payments,common_stock_issuance,net_issuance_payments_of_debt,net_short_term_debt_issuance,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_investment_purchase_and_sale,sale_of_investment,purchase_of_investment,net_business_purchase_and_sale,purchase_of_business,net_ppe_purchase_and_sale,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_other_current_liabilities,change_in_other_current_assets,change_in_payables_and_accrued_expense,change_in_payable,change_in_account_payable,change_in_inventory,change_in_receivables,changes_in_account_receivables,other_non_cash_items,stock_based_compensation,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,net_income_from_continuing_operations,effect_of_exchange_rate_changes,short_term_debt_issuance,change_in_tax_payable,change_in_income_tax_payable,depreciation,operating_gains_losses,gain_loss_on_investment_securities,proceeds_from_stock_option_exercised,net_intangibles_purchase_and_sale,purchase_of_intangibles,change_in_accrued_expense,amortization_cash_flow,amortization_of_intangibles,short_term_debt_payments,sale_of_ppe,capital_expenditure_reported,change_in_prepaid_assets,unrealized_gain_loss_on_investment_securities,asset_impairment_charge,sale_of_business,sale_of_intangibles,net_foreign_currency_exchange_gain_loss,gain_loss_on_sale_of_ppe,provisionand_write_offof_assets,gain_loss_on_sale_of_business,earnings_losses_from_equity_investments,dividend_received_cfo,dividend_paid_cfo,pension_and_employee_benefit_expense,dividends_received_cfi,depletion,other_cash_adjustment_outside_changein_cash,cash_from_discontinued_financing_activities,cash_from_discontinued_investing_activities,cash_from_discontinued_operating_activities,net_preferred_stock_issuance,preferred_stock_payments,taxes_refund_paid,preferred_stock_issuance,cash_flow_from_discontinued_operation,net_investment_properties_purchase_and_sale,sale_of_investment_properties,purchase_of_investment_properties,preferred_stock_dividend_paid,interest_received_cfi,amortization_of_securities,change_in_interest_payable
DUK,2023-12-31,-2726000000.0,,-5205000000.0,10638000000.0,8000000.0,-12604000000.0,2883000000.0,1000000.0,357000000.0,603000000.0,-246000000.0,2351000000.0,2351000000.0,154000000.0,-3244000000.0,-3244000000.0,8000000.0,,8000000.0,5433000000.0,142000000.0,5291000000.0,-4737000000.0,10028000000.0,-12475000000.0,-12475000000.0,-650000000.0,63000000.0,3824000000.0,-3761000000.0,716000000.0,-34000000.0,,,9878000000.0,9878000000.0,250000000.0,-18000000.0,558000000.0,647000000.0,-674000000.0,-674000000.0,-800000000.0,-706000000.0,443000000.0,,-930000000.0,,3000000.0,3000000.0,6084000000.0,6084000000.0,2874000000.0,,610000000.0,126000000.0,126000000.0,,1575000000.0,,,,,,,,-468000000.0,,-12604000000.0,,,85000000.0,750000000.0,,,,-63000000.0,1725000000.0,-98000000.0,,,,,,,,,,,,,,,,,,,,,
DUK,2022-12-31,-5440000000.0,,-4683000000.0,12735000000.0,9000000.0,-11367000000.0,2361000000.0,,603000000.0,520000000.0,83000000.0,6129000000.0,6129000000.0,1247000000.0,-3179000000.0,-3179000000.0,9000000.0,,9000000.0,8052000000.0,574000000.0,7478000000.0,-4396000000.0,11874000000.0,-11973000000.0,-11973000000.0,-644000000.0,90000000.0,4333000000.0,-4243000000.0,-52000000.0,-58000000.0,,,5927000000.0,5927000000.0,-3248000000.0,19000000.0,257000000.0,-3075000000.0,815000000.0,815000000.0,805000000.0,-476000000.0,-788000000.0,,-839000000.0,,-200000000.0,-200000000.0,5843000000.0,5843000000.0,2455000000.0,,861000000.0,10000000.0,10000000.0,5843000000.0,1612000000.0,,,,,,,,-287000000.0,,-11367000000.0,,,434000000.0,6000000.0,,,,-130000000.0,1748000000.0,-114000000.0,,,,,,,,,,,,,,,,,,,,,
DUK,2021-12-31,-1425000000.0,,-6291000000.0,10528000000.0,5000000.0,-9715000000.0,2248000000.0,,520000000.0,556000000.0,-36000000.0,2609000000.0,2609000000.0,1481000000.0,-3114000000.0,-3114000000.0,5000000.0,,5000000.0,4237000000.0,479000000.0,3758000000.0,-5294000000.0,9052000000.0,-10935000000.0,-10935000000.0,-333000000.0,5000000.0,6103000000.0,-6098000000.0,-892000000.0,-936000000.0,,,8290000000.0,8290000000.0,-677000000.0,50000000.0,82000000.0,-1011000000.0,533000000.0,533000000.0,249000000.0,-34000000.0,-297000000.0,,-711000000.0,,191000000.0,191000000.0,5663000000.0,5663000000.0,3579000000.0,,1476000000.0,284000000.0,284000000.0,5663000000.0,-41000000.0,,,,,,,,-997000000.0,,-9715000000.0,,,356000000.0,44000000.0,,,,-70000000.0,0.0,-28000000.0,,,,,,,,,,0.0,,,0.0,,,,,,,,
DUK,2020-12-31,-1051000000.0,,-7834000000.0,9339000000.0,2745000000.0,-9907000000.0,2186000000.0,,556000000.0,573000000.0,-17000000.0,1731000000.0,1731000000.0,293000000.0,-2812000000.0,-2812000000.0,2745000000.0,,2745000000.0,1505000000.0,-319000000.0,1824000000.0,-4506000000.0,6330000000.0,-10604000000.0,-10604000000.0,-398000000.0,-62000000.0,7949000000.0,-8011000000.0,-237000000.0,-370000000.0,,,8856000000.0,8856000000.0,-541000000.0,63000000.0,-507000000.0,-203000000.0,96000000.0,96000000.0,-21000000.0,66000000.0,-56000000.0,,-192000000.0,,54000000.0,54000000.0,5486000000.0,5486000000.0,1082000000.0,,3009000000.0,117000000.0,117000000.0,5486000000.0,2005000000.0,,,,,,,,-3328000000.0,,-9907000000.0,,,984000000.0,133000000.0,,,,-22000000.0,,2005000000.0,,,,,,,,,,0.0,,,0.0,,,,,,,,
DUK,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5176000000.0,,,,,,,,,,,,,,,,,,,,,,,,24000000.0,,,,,,,1962000000.0,,,1962000000.0,,,,,,,,
SO,2023-12-31,-1542000000.0,0.0,-5924000000.0,10295000000.0,36000000.0,-9095000000.0,2184000000.0,132000000.0,921000000.0,2037000000.0,-1116000000.0,999000000.0,999000000.0,-373000000.0,-3035000000.0,-3035000000.0,36000000.0,,36000000.0,4371000000.0,-307000000.0,4678000000.0,-4294000000.0,8972000000.0,-9668000000.0,-9668000000.0,-716000000.0,-21000000.0,1121000000.0,-1142000000.0,164000000.0,,-9095000000.0,-9095000000.0,7553000000.0,7553000000.0,-135000000.0,743000000.0,214000000.0,-106000000.0,-863000000.0,-863000000.0,-863000000.0,-605000000.0,482000000.0,,-1173000000.0,137000000.0,416000000.0,416000000.0,4986000000.0,4986000000.0,3849000000.0,,1323000000.0,,,,-527000000.0,,,,,,,,-1630000000.0,,,,,0.0,164000000.0,,,,,,,,,-527000000.0,,,,,,,0.0,0.0,,,,,,,,,,
SO,2022-12-31,-1621000000.0,-298000000.0,-3645000000.0,7782000000.0,1808000000.0,-7923000000.0,1758000000.0,146000000.0,2037000000.0,1829000000.0,208000000.0,2336000000.0,2336000000.0,-404000000.0,-2907000000.0,-2907000000.0,1808000000.0,,1808000000.0,4137000000.0,1163000000.0,2974000000.0,-2158000000.0,5132000000.0,-8430000000.0,-8430000000.0,-769000000.0,-13000000.0,1112000000.0,-1125000000.0,275000000.0,,-7923000000.0,-7923000000.0,6302000000.0,6302000000.0,160000000.0,19000000.0,204000000.0,-186000000.0,1021000000.0,1021000000.0,1021000000.0,-127000000.0,-771000000.0,,-2050000000.0,127000000.0,758000000.0,758000000.0,4064000000.0,4064000000.0,3428000000.0,,2650000000.0,51000000.0,51000000.0,,-436000000.0,,,,,,,,-1487000000.0,,,,,251000000.0,275000000.0,,,,,,,,,-436000000.0,,,,,,,-298000000.0,-298000000.0,,,,,,,,,,
SO,2021-12-31,-1417000000.0,0.0,-4352000000.0,9117000000.0,73000000.0,-7586000000.0,1718000000.0,93000000.0,1829000000.0,1068000000.0,761000000.0,1945000000.0,1945000000.0,-116000000.0,-2777000000.0,-2777000000.0,73000000.0,,73000000.0,4765000000.0,830000000.0,3935000000.0,-4327000000.0,8262000000.0,-7353000000.0,-7353000000.0,-679000000.0,-5000000.0,1593000000.0,-1598000000.0,917000000.0,-345000000.0,-7586000000.0,-7586000000.0,6169000000.0,6169000000.0,-784000000.0,126000000.0,-258000000.0,-270000000.0,-8000000.0,-8000000.0,-8000000.0,-297000000.0,-77000000.0,,502000000.0,144000000.0,239000000.0,239000000.0,3973000000.0,3973000000.0,2309000000.0,,855000000.0,-54000000.0,-54000000.0,,-305000000.0,,,,,,,,-25000000.0,,,,,91000000.0,917000000.0,,,,,-176000000.0,,,,-305000000.0,,,,,,,0.0,0.0,,,,,,,,,,
SO,2020-12-31,-745000000.0,0.0,-6394000000.0,8662000000.0,74000000.0,-7441000000.0,1683000000.0,64000000.0,1068000000.0,1978000000.0,-910000000.0,-576000000.0,-576000000.0,-233000000.0,-2685000000.0,-2685000000.0,74000000.0,,74000000.0,2268000000.0,-1321000000.0,3589000000.0,-4458000000.0,8047000000.0,-7030000000.0,-7030000000.0,-551000000.0,-6000000.0,871000000.0,-877000000.0,968000000.0,-81000000.0,-7441000000.0,-7441000000.0,6696000000.0,6696000000.0,-389000000.0,-140000000.0,76000000.0,-161000000.0,215000000.0,215000000.0,-27000000.0,-157000000.0,-222000000.0,,-15000000.0,113000000.0,100000000.0,100000000.0,3905000000.0,3905000000.0,3103000000.0,,615000000.0,242000000.0,242000000.0,,-327000000.0,,,,,,,,-1936000000.0,,,,,206000000.0,1049000000.0,,,,,-66000000.0,,,,-261000000.0,,,,,,,0.0,0.0,,,,,,,,,,
SO,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50000000.0,,,,,,,,,,,,,,630000000.0,,,,,,,,,,117000000.0,117000000.0,,,,,,,,,,,,,,,,,,,15000000.0,168000000.0,-2588000000.0,,,,,,,,,,,,,,0.0,,,,,,,,
REGN,2023-12-31,3667600000.0,-2935600000.0,,,1145500000.0,-926400000.0,73100000.0,870300000.0,2737800000.0,3119400000.0,-381200000.0,-1790100000.0,-1790100000.0,,,,-1790100000.0,-2935600000.0,1145500000.0,,,,,,-3185100000.0,-3185100000.0,,-2203800000.0,9442200000.0,-11646000000.0,-54900000.0,-54900000.0,,,4594000000.0,4594000000.0,-94100000.0,37900000.0,,,598600000.0,598600000.0,598600000.0,-271700000.0,-338800000.0,-338800000.0,-100000.0,885000000.0,-837800000.0,-837800000.0,421000000.0,421000000.0,3953600000.0,-400000.0,,,,328800000.0,266400000.0,266400000.0,,-207800000.0,-207800000.0,,92200000.0,92200000.0,,,-718600000.0,-120100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGN,2022-12-31,3398000000.0,-2528500000.0,0.0,0.0,1519500000.0,-1616900000.0,53700000.0,1502400000.0,3119400000.0,2898100000.0,221300000.0,-1009000000.0,-1009000000.0,,,,-1009000000.0,-2528500000.0,1519500000.0,0.0,,0.0,0.0,0.0,-3784600000.0,-3784600000.0,-230300000.0,-1937400000.0,5550500000.0,-7487900000.0,-230300000.0,-230300000.0,,,5014900000.0,5014900000.0,-243300000.0,32400000.0,,,-138400000.0,-138400000.0,-138400000.0,-696500000.0,707800000.0,707800000.0,563000000.0,725000000.0,-746400000.0,-746400000.0,341400000.0,341400000.0,4338400000.0,0.0,,,,303900000.0,36800000.0,36800000.0,,-1026800000.0,-1026800000.0,,37600000.0,37600000.0,,,-590100000.0,-148600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGN,2021-12-31,6529400000.0,-2678100000.0,0.0,0.0,1672300000.0,-551900000.0,55800000.0,1218400000.0,2898100000.0,2207300000.0,690800000.0,-1005800000.0,-1005800000.0,,,,-1005800000.0,-2678100000.0,1672300000.0,0.0,,0.0,0.0,0.0,-5384700000.0,-5384700000.0,,-4832800000.0,2215300000.0,-7048100000.0,0.0,0.0,,,7081300000.0,7081300000.0,-1916500000.0,-120200000.0,,,866100000.0,866100000.0,866100000.0,-494300000.0,-1927400000.0,-1927400000.0,568700000.0,601700000.0,-147100000.0,-147100000.0,286200000.0,286200000.0,8075300000.0,0.0,,,,,-387000000.0,-387000000.0,,0.0,0.0,,,,,,-551900000.0,-240700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGN,2020-12-31,2003500000.0,-6527600000.0,-1500000000.0,3481900000.0,2575200000.0,-614600000.0,23200000.0,188100000.0,2207300000.0,1630300000.0,577000000.0,-1970500000.0,-1970500000.0,,,,-3952400000.0,-6527600000.0,2575200000.0,1981900000.0,,1981900000.0,-1500000000.0,3481900000.0,-70600000.0,-70600000.0,,544000000.0,3785000000.0,-3241000000.0,,,,,2618100000.0,2618100000.0,-1503600000.0,148100000.0,,,118900000.0,118900000.0,118900000.0,-529400000.0,-1356100000.0,-1356100000.0,86800000.0,432000000.0,75600000.0,75600000.0,235900000.0,235900000.0,3513200000.0,,,,,,-221800000.0,-221800000.0,,,,,,,,,-614600000.0,114900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
