ticker,date,free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_debt,issuance_of_capital_stock,capital_expenditure,interest_paid_supplemental_data,income_tax_paid_supplemental_data,end_cash_position,beginning_cash_position,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,cash_dividends_paid,common_stock_dividend_paid,net_common_stock_issuance,common_stock_payments,common_stock_issuance,net_issuance_payments_of_debt,net_short_term_debt_issuance,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_investment_purchase_and_sale,sale_of_investment,purchase_of_investment,net_business_purchase_and_sale,purchase_of_business,net_ppe_purchase_and_sale,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_other_current_liabilities,change_in_other_current_assets,change_in_payables_and_accrued_expense,change_in_payable,change_in_account_payable,change_in_inventory,change_in_receivables,changes_in_account_receivables,other_non_cash_items,stock_based_compensation,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,net_income_from_continuing_operations,effect_of_exchange_rate_changes,short_term_debt_issuance,change_in_tax_payable,change_in_income_tax_payable,depreciation,operating_gains_losses,gain_loss_on_investment_securities,proceeds_from_stock_option_exercised,net_intangibles_purchase_and_sale,purchase_of_intangibles,change_in_accrued_expense,amortization_cash_flow,amortization_of_intangibles,short_term_debt_payments,sale_of_ppe,capital_expenditure_reported,change_in_prepaid_assets,unrealized_gain_loss_on_investment_securities,asset_impairment_charge,sale_of_business,sale_of_intangibles,net_foreign_currency_exchange_gain_loss,gain_loss_on_sale_of_ppe,provisionand_write_offof_assets,gain_loss_on_sale_of_business,earnings_losses_from_equity_investments,dividend_received_cfo,dividend_paid_cfo,pension_and_employee_benefit_expense,dividends_received_cfi,depletion,other_cash_adjustment_outside_changein_cash,cash_from_discontinued_financing_activities,cash_from_discontinued_investing_activities,cash_from_discontinued_operating_activities,net_preferred_stock_issuance,preferred_stock_payments,taxes_refund_paid,preferred_stock_issuance,cash_flow_from_discontinued_operation,net_investment_properties_purchase_and_sale,sale_of_investment_properties,purchase_of_investment_properties,preferred_stock_dividend_paid,interest_received_cfi,amortization_of_securities,change_in_interest_payable
AAPL,2023-09-30,99584000000.0,-77550000000.0,-11151000000.0,5228000000.0,,-10959000000.0,3803000000.0,18679000000.0,30737000000.0,24977000000.0,5760000000.0,-108488000000.0,-108488000000.0,-6012000000.0,-15025000000.0,-15025000000.0,-77550000000.0,-77550000000.0,,-9901000000.0,-3978000000.0,-5923000000.0,-11151000000.0,5228000000.0,3705000000.0,3705000000.0,-1337000000.0,16001000000.0,45514000000.0,-29513000000.0,,,-10959000000.0,-10959000000.0,110543000000.0,110543000000.0,-6577000000.0,,3031000000.0,-5684000000.0,-1889000000.0,-1889000000.0,-1889000000.0,-1618000000.0,-417000000.0,-1688000000.0,-2227000000.0,10833000000.0,,,11519000000.0,11519000000.0,96995000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2022-09-30,111443000000.0,-89402000000.0,-9543000000.0,5465000000.0,,-10708000000.0,2865000000.0,19573000000.0,24977000000.0,35929000000.0,-10952000000.0,-110749000000.0,-110749000000.0,-6383000000.0,-14841000000.0,-14841000000.0,-89402000000.0,-89402000000.0,,-123000000.0,3955000000.0,-4078000000.0,-9543000000.0,5465000000.0,-22354000000.0,-22354000000.0,-2086000000.0,-9560000000.0,67363000000.0,-76923000000.0,-306000000.0,-306000000.0,-10708000000.0,-10708000000.0,122151000000.0,122151000000.0,1200000000.0,478000000.0,6110000000.0,-6499000000.0,9448000000.0,9448000000.0,9448000000.0,1484000000.0,-9343000000.0,-1823000000.0,1006000000.0,9038000000.0,895000000.0,895000000.0,11104000000.0,11104000000.0,99803000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2021-09-30,92953000000.0,-85971000000.0,-8750000000.0,20393000000.0,1105000000.0,-11085000000.0,2687000000.0,25385000000.0,35929000000.0,39789000000.0,-3860000000.0,-93353000000.0,-93353000000.0,-5580000000.0,-14467000000.0,-14467000000.0,-85971000000.0,-85971000000.0,1105000000.0,12665000000.0,1022000000.0,11643000000.0,-8750000000.0,20393000000.0,-14545000000.0,-14545000000.0,-385000000.0,-3075000000.0,106483000000.0,-109558000000.0,-33000000.0,-33000000.0,-11085000000.0,-11085000000.0,104038000000.0,104038000000.0,-4911000000.0,1676000000.0,7475000000.0,-8042000000.0,12326000000.0,12326000000.0,12326000000.0,-2642000000.0,-14028000000.0,-10125000000.0,-4921000000.0,7906000000.0,-4774000000.0,-4774000000.0,11284000000.0,11284000000.0,94680000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2020-09-30,73365000000.0,-72358000000.0,-12629000000.0,16091000000.0,880000000.0,-7309000000.0,3002000000.0,9501000000.0,39789000000.0,50224000000.0,-10435000000.0,-86820000000.0,-86820000000.0,-2880000000.0,-14081000000.0,-14081000000.0,-72358000000.0,-72358000000.0,880000000.0,2499000000.0,-963000000.0,3462000000.0,-12629000000.0,16091000000.0,-4289000000.0,-4289000000.0,-909000000.0,5453000000.0,120391000000.0,-114938000000.0,-1524000000.0,-1524000000.0,-7309000000.0,-7309000000.0,80674000000.0,80674000000.0,5690000000.0,2081000000.0,8916000000.0,-9588000000.0,-4062000000.0,-4062000000.0,-4062000000.0,-127000000.0,8470000000.0,6917000000.0,-97000000.0,6829000000.0,-215000000.0,-215000000.0,11056000000.0,11056000000.0,57411000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-06-30,74071000000.0,-17254000000.0,-29070000000.0,29645000000.0,2002000000.0,-44477000000.0,,,18315000000.0,34704000000.0,-16179000000.0,-37757000000.0,-37757000000.0,-1309000000.0,-21771000000.0,-21771000000.0,-15252000000.0,-17254000000.0,2002000000.0,575000000.0,5250000000.0,-4675000000.0,-29070000000.0,24395000000.0,-96970000000.0,-96970000000.0,-1298000000.0,17937000000.0,35669000000.0,-17732000000.0,-69132000000.0,-69132000000.0,-44477000000.0,-44477000000.0,118548000000.0,118548000000.0,1824000000.0,5348000000.0,5616000000.0,-8465000000.0,5232000000.0,5232000000.0,3545000000.0,1284000000.0,-7191000000.0,-7191000000.0,,10734000000.0,-4738000000.0,-4738000000.0,22287000000.0,22287000000.0,88136000000.0,-210000000.0,5250000000.0,1687000000.0,1687000000.0,22287000000.0,305000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2023-06-30,59475000000.0,-22245000000.0,-2750000000.0,0.0,1866000000.0,-28107000000.0,,,34704000000.0,13931000000.0,20967000000.0,-43935000000.0,-43935000000.0,-1006000000.0,-19800000000.0,-19800000000.0,-20379000000.0,-22245000000.0,1866000000.0,-2750000000.0,0.0,-2750000000.0,-2750000000.0,0.0,-22680000000.0,-22680000000.0,-3116000000.0,10213000000.0,47864000000.0,-37651000000.0,-1670000000.0,-1670000000.0,-28107000000.0,-28107000000.0,87582000000.0,87582000000.0,-2388000000.0,5535000000.0,2825000000.0,-4824000000.0,-3079000000.0,-3079000000.0,-2721000000.0,1242000000.0,-4087000000.0,-4087000000.0,,9611000000.0,-6059000000.0,-6059000000.0,13861000000.0,13861000000.0,72361000000.0,-194000000.0,0.0,-358000000.0,-358000000.0,13861000000.0,196000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2022-06-30,65149000000.0,-32696000000.0,-9023000000.0,0.0,1841000000.0,-23886000000.0,,,13931000000.0,14224000000.0,-152000000.0,-58876000000.0,-58876000000.0,-863000000.0,-18135000000.0,-18135000000.0,-30855000000.0,-32696000000.0,1841000000.0,-9023000000.0,0.0,-9023000000.0,-9023000000.0,0.0,-30311000000.0,-30311000000.0,-2825000000.0,18438000000.0,44894000000.0,-26456000000.0,-22038000000.0,-22038000000.0,-23886000000.0,-23886000000.0,89035000000.0,89035000000.0,446000000.0,5805000000.0,3169000000.0,-3514000000.0,2943000000.0,2943000000.0,2943000000.0,-1123000000.0,-6834000000.0,-6834000000.0,,7502000000.0,-5702000000.0,-5702000000.0,14460000000.0,14460000000.0,72738000000.0,-141000000.0,0.0,,,14460000000.0,-409000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2021-06-30,56118000000.0,-27385000000.0,-3750000000.0,,1693000000.0,-20622000000.0,,,14224000000.0,13576000000.0,677000000.0,-48486000000.0,-48486000000.0,-2523000000.0,-16521000000.0,-16521000000.0,-25692000000.0,-27385000000.0,1693000000.0,-3750000000.0,,-3750000000.0,-3750000000.0,,-27577000000.0,-27577000000.0,-922000000.0,2876000000.0,65800000000.0,-62924000000.0,-8909000000.0,-8909000000.0,-20622000000.0,-20622000000.0,76740000000.0,76740000000.0,-936000000.0,2324000000.0,5551000000.0,-4391000000.0,2798000000.0,2798000000.0,2798000000.0,-737000000.0,-6481000000.0,-6481000000.0,,6118000000.0,-150000000.0,-150000000.0,11686000000.0,11686000000.0,61271000000.0,-29000000.0,,,,11686000000.0,-1249000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2020-06-30,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-219000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOGL,2023-12-31,69495000000.0,-61504000000.0,-11550000000.0,10790000000.0,,-32251000000.0,,19164000000.0,24048000000.0,21879000000.0,2590000000.0,-72093000000.0,-72093000000.0,8000000.0,,,-61504000000.0,-61504000000.0,,-760000000.0,,-760000000.0,-11550000000.0,10790000000.0,-27063000000.0,-27063000000.0,-1051000000.0,6734000000.0,87619000000.0,-80885000000.0,-495000000.0,-495000000.0,-32251000000.0,-32251000000.0,101746000000.0,101746000000.0,-3845000000.0,1048000000.0,,-2143000000.0,5083000000.0,664000000.0,664000000.0,,-7833000000.0,-7833000000.0,4330000000.0,22460000000.0,-7763000000.0,-7763000000.0,11946000000.0,11946000000.0,73795000000.0,-421000000.0,,,,11946000000.0,823000000.0,823000000.0,-9837000000.0,,,4419000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOGL,2022-12-31,60010000000.0,-59296000000.0,-54068000000.0,52872000000.0,,-31485000000.0,,18892000000.0,21879000000.0,20945000000.0,1440000000.0,-69757000000.0,-69757000000.0,35000000.0,,,-59296000000.0,-59296000000.0,,-1196000000.0,,-1196000000.0,-54068000000.0,52872000000.0,-20298000000.0,-20298000000.0,1589000000.0,16567000000.0,97972000000.0,-81405000000.0,-6969000000.0,-6969000000.0,-31485000000.0,-31485000000.0,91495000000.0,91495000000.0,-2235000000.0,951000000.0,,-5046000000.0,4177000000.0,707000000.0,707000000.0,,-2317000000.0,-2317000000.0,3483000000.0,19362000000.0,-8081000000.0,-8081000000.0,13475000000.0,13475000000.0,59972000000.0,-506000000.0,,,,13475000000.0,5519000000.0,5519000000.0,-9300000000.0,,,3470000000.0,641000000.0,641000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOGL,2021-12-31,67012000000.0,-50274000000.0,-21435000000.0,20199000000.0,,-24640000000.0,,13412000000.0,20945000000.0,26465000000.0,-5233000000.0,-61362000000.0,-61362000000.0,310000000.0,,,-50274000000.0,-50274000000.0,,-1236000000.0,,-1236000000.0,-21435000000.0,20199000000.0,-35523000000.0,-35523000000.0,541000000.0,-8806000000.0,129228000000.0,-138034000000.0,-2618000000.0,-2618000000.0,-24640000000.0,-24640000000.0,91652000000.0,91652000000.0,-1523000000.0,149000000.0,,-1846000000.0,9269000000.0,283000000.0,283000000.0,,-9095000000.0,-9095000000.0,-213000000.0,15376000000.0,1808000000.0,1808000000.0,12441000000.0,12441000000.0,76033000000.0,-287000000.0,,,,11555000000.0,-12270000000.0,-12270000000.0,-10162000000.0,,,8986000000.0,886000000.0,886000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOGL,2020-12-31,42843000000.0,-31149000000.0,-2100000000.0,11761000000.0,,-22281000000.0,,4990000000.0,26465000000.0,18498000000.0,7943000000.0,-24408000000.0,-24408000000.0,2800000000.0,,,-31149000000.0,-31149000000.0,,9661000000.0,,9661000000.0,-2100000000.0,11761000000.0,-32773000000.0,-32773000000.0,68000000.0,-9822000000.0,133929000000.0,-143751000000.0,-738000000.0,-738000000.0,-22281000000.0,-22281000000.0,65124000000.0,65124000000.0,1827000000.0,1844000000.0,,-1330000000.0,7837000000.0,694000000.0,694000000.0,,-6524000000.0,-6524000000.0,1267000000.0,12991000000.0,1390000000.0,1390000000.0,13697000000.0,13697000000.0,40269000000.0,24000000.0,,,,12905000000.0,-6317000000.0,-6317000000.0,-5720000000.0,,,7143000000.0,792000000.0,792000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOGL,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2515000000.0,-2515000000.0,,925000000.0,925000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMZN,2023-12-31,32217000000.0,0.0,-33737000000.0,18129000000.0,,-52729000000.0,3112000000.0,11179000000.0,73890000000.0,54253000000.0,19234000000.0,-15879000000.0,-15879000000.0,-271000000.0,,,0.0,0.0,,-15608000000.0,-7548000000.0,-8060000000.0,-8060000000.0,0.0,-49833000000.0,-49833000000.0,,4139000000.0,5627000000.0,-1488000000.0,-5839000000.0,-5839000000.0,-48133000000.0,-52729000000.0,84946000000.0,84946000000.0,-11541000000.0,4578000000.0,,-12265000000.0,3045000000.0,5473000000.0,5473000000.0,1449000000.0,-8348000000.0,-8348000000.0,-748000000.0,24023000000.0,-5876000000.0,-5876000000.0,48663000000.0,48663000000.0,30425000000.0,403000000.0,18129000000.0,,,,,,,,,-2428000000.0,,,-25677000000.0,4596000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMZN,2022-12-31,-16893000000.0,-6000000000.0,-46753000000.0,62719000000.0,,-63645000000.0,2142000000.0,6035000000.0,54253000000.0,36477000000.0,18869000000.0,9718000000.0,9718000000.0,-248000000.0,,,-6000000000.0,-6000000000.0,,15966000000.0,3999000000.0,11967000000.0,-9199000000.0,21166000000.0,-37601000000.0,-37601000000.0,,29036000000.0,31601000000.0,-2565000000.0,-8316000000.0,-8316000000.0,-58321000000.0,-63645000000.0,46752000000.0,46752000000.0,-20886000000.0,2216000000.0,,-13275000000.0,1387000000.0,2945000000.0,2945000000.0,-2592000000.0,-8622000000.0,-8622000000.0,16966000000.0,19621000000.0,-8148000000.0,-8148000000.0,41921000000.0,41921000000.0,-2722000000.0,-1093000000.0,41553000000.0,,,,,,,,,-1558000000.0,,,-37554000000.0,5324000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMZN,2021-12-31,-14726000000.0,0.0,-20506000000.0,26959000000.0,,-61053000000.0,1772000000.0,3688000000.0,36477000000.0,42377000000.0,-5536000000.0,6291000000.0,6291000000.0,-162000000.0,,,0.0,0.0,,6453000000.0,203000000.0,6250000000.0,-12753000000.0,19003000000.0,-58154000000.0,-58154000000.0,,-773000000.0,59384000000.0,-60157000000.0,-1985000000.0,-1985000000.0,-55396000000.0,-61053000000.0,46327000000.0,46327000000.0,-19611000000.0,2314000000.0,,-9018000000.0,5725000000.0,3602000000.0,3602000000.0,-9487000000.0,-9145000000.0,-9145000000.0,-14306000000.0,12757000000.0,-310000000.0,-310000000.0,34433000000.0,34433000000.0,33364000000.0,-364000000.0,7956000000.0,,,,,,,,,2123000000.0,,,-7753000000.0,5657000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMZN,2020-12-31,25924000000.0,0.0,-18425000000.0,17321000000.0,,-40140000000.0,1630000000.0,1713000000.0,42377000000.0,36410000000.0,5349000000.0,-1104000000.0,-1104000000.0,,,,0.0,0.0,,-1104000000.0,619000000.0,-1723000000.0,-12248000000.0,10525000000.0,-59611000000.0,-59611000000.0,,-22242000000.0,50237000000.0,-72479000000.0,-2325000000.0,-2325000000.0,-35044000000.0,-40140000000.0,66064000000.0,66064000000.0,13481000000.0,1265000000.0,,,23234000000.0,17480000000.0,17480000000.0,-2849000000.0,-8169000000.0,-8169000000.0,-2653000000.0,9208000000.0,-554000000.0,-554000000.0,25251000000.0,25251000000.0,21331000000.0,618000000.0,6796000000.0,,,,,,,,,5754000000.0,,,-6177000000.0,5096000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVDA,2024-01-31,27021000000.0,-9533000000.0,-1250000000.0,0.0,,-1069000000.0,252000000.0,6549000000.0,7280000000.0,3389000000.0,3891000000.0,-13633000000.0,-13633000000.0,-2858000000.0,-395000000.0,,-9533000000.0,-9533000000.0,,-1250000000.0,,-1250000000.0,-1250000000.0,0.0,-10566000000.0,-10566000000.0,,-9414000000.0,9782000000.0,-19196000000.0,-83000000.0,-83000000.0,-1069000000.0,-1069000000.0,28090000000.0,28090000000.0,-3722000000.0,,514000000.0,,3556000000.0,1531000000.0,1531000000.0,-98000000.0,-6172000000.0,-6172000000.0,-278000000.0,3549000000.0,-2489000000.0,-2489000000.0,1508000000.0,1508000000.0,29760000000.0,,,,,,-238000000.0,-238000000.0,403000000.0,,,2025000000.0,,,,,,-1522000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVDA,2023-01-31,3808000000.0,-10039000000.0,0.0,0.0,,-1833000000.0,254000000.0,1404000000.0,3389000000.0,1990000000.0,1399000000.0,-11617000000.0,-11617000000.0,-1535000000.0,-398000000.0,-398000000.0,-10039000000.0,-10039000000.0,,0.0,,0.0,0.0,0.0,7375000000.0,7375000000.0,,9257000000.0,21231000000.0,-11974000000.0,-49000000.0,-49000000.0,-1833000000.0,-1833000000.0,5641000000.0,5641000000.0,-2207000000.0,,252000000.0,,790000000.0,-551000000.0,-551000000.0,-2554000000.0,822000000.0,822000000.0,1346000000.0,2709000000.0,-2164000000.0,-2164000000.0,1544000000.0,1544000000.0,4368000000.0,,,,,,45000000.0,45000000.0,355000000.0,,,1341000000.0,,,,,,-1517000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVDA,2022-01-31,8132000000.0,0.0,-1000000000.0,4977000000.0,,-976000000.0,246000000.0,396000000.0,1990000000.0,847000000.0,1143000000.0,1865000000.0,1865000000.0,-1994000000.0,-399000000.0,-399000000.0,0.0,0.0,,3977000000.0,,3977000000.0,-1000000000.0,4977000000.0,-9830000000.0,-9830000000.0,,-8591000000.0,16220000000.0,-24811000000.0,-263000000.0,-263000000.0,-976000000.0,-976000000.0,9108000000.0,9108000000.0,-3363000000.0,,192000000.0,,1149000000.0,568000000.0,568000000.0,-774000000.0,-2215000000.0,-2215000000.0,47000000.0,2004000000.0,-406000000.0,-406000000.0,1174000000.0,1174000000.0,9752000000.0,,,,,,-100000000.0,-100000000.0,281000000.0,,,581000000.0,,,,,,-1715000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVDA,2021-01-31,4694000000.0,0.0,0.0,4968000000.0,,-1128000000.0,138000000.0,249000000.0,847000000.0,10896000000.0,-10049000000.0,3804000000.0,3804000000.0,-963000000.0,-395000000.0,-395000000.0,0.0,0.0,,4968000000.0,,4968000000.0,0.0,4968000000.0,-19675000000.0,-19675000000.0,,-10023000000.0,9319000000.0,-19342000000.0,-8524000000.0,-8524000000.0,-1128000000.0,-1128000000.0,5822000000.0,5822000000.0,-703000000.0,163000000.0,163000000.0,,602000000.0,312000000.0,312000000.0,-524000000.0,-550000000.0,-550000000.0,-20000000.0,1397000000.0,-282000000.0,-282000000.0,1098000000.0,1098000000.0,4332000000.0,,,,,,,,194000000.0,,,290000000.0,,,,,-1128000000.0,-394000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVDA,2020-01-31,,,,,,,,,,,,,,,,-390000000.0,,,,,,,,,,,,,,,,,,,,,,28000000.0,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,,,,,,,,0.0,-489000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRK-B,2023-12-31,29787000000.0,-9171000000.0,-11311000000.0,7817000000.0,,-19409000000.0,,,38643000000.0,36399000000.0,2128000000.0,-14405000000.0,-14405000000.0,-4147000000.0,,,-9171000000.0,-9171000000.0,,-1087000000.0,2407000000.0,-3494000000.0,-11311000000.0,7817000000.0,-32663000000.0,-32663000000.0,685000000.0,-5335000000.0,246134000000.0,-251469000000.0,-8604000000.0,-8604000000.0,-19409000000.0,-19409000000.0,49196000000.0,49196000000.0,20441000000.0,15240000000.0,2570000000.0,98000000.0,,,,,-1949000000.0,,-6023000000.0,,,,,12486000000.0,97147000000.0,116000000.0,,,,10658000000.0,-5711000000.0,-5711000000.0,,,,,1828000000.0,1828000000.0,,,,,-69144000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRK-B,2022-12-31,21886000000.0,-7854000000.0,-3928000000.0,12695000000.0,,-15464000000.0,,,36399000000.0,88706000000.0,-51913000000.0,-1662000000.0,-1662000000.0,-1979000000.0,,,-7854000000.0,-7854000000.0,,8171000000.0,-596000000.0,8767000000.0,-3928000000.0,12695000000.0,-87601000000.0,-87601000000.0,239000000.0,-61782000000.0,190070000000.0,-251852000000.0,-10594000000.0,-10594000000.0,-15464000000.0,-15464000000.0,37350000000.0,37350000000.0,-14968000000.0,-12103000000.0,1995000000.0,-5157000000.0,,,,,-5621000000.0,,-4206000000.0,,,,,10899000000.0,-21998000000.0,-394000000.0,,,,9666000000.0,4503000000.0,4503000000.0,,,,,1233000000.0,1233000000.0,,,,,63120000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRK-B,2021-12-31,26151000000.0,-27061000000.0,-7048000000.0,6920000000.0,,-13276000000.0,,,88706000000.0,48396000000.0,40311000000.0,-28508000000.0,-28508000000.0,-695000000.0,,,-27061000000.0,-27061000000.0,,-752000000.0,-624000000.0,-128000000.0,-7048000000.0,6920000000.0,29392000000.0,29392000000.0,770000000.0,42354000000.0,203439000000.0,-161085000000.0,-456000000.0,-456000000.0,-13276000000.0,-13276000000.0,39427000000.0,39427000000.0,18718000000.0,17132000000.0,2658000000.0,-1708000000.0,,,,,-5864000000.0,-5834000000.0,-3382000000.0,,,,,10718000000.0,90949000000.0,-1000000.0,,,,9466000000.0,-1201000000.0,-1201000000.0,,,,,1252000000.0,1252000000.0,,,,,-76375000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRK-B,2020-12-31,26761000000.0,-24706000000.0,-6461000000.0,14370000000.0,,-13012000000.0,,,48396000000.0,64632000000.0,-16328000000.0,-18344000000.0,-18344000000.0,-429000000.0,,,-24706000000.0,-24706000000.0,,6791000000.0,-1118000000.0,7909000000.0,-6461000000.0,14370000000.0,-37757000000.0,-37757000000.0,-3961000000.0,-18252000000.0,220338000000.0,-238590000000.0,-2532000000.0,-2532000000.0,-13012000000.0,-13012000000.0,39773000000.0,39773000000.0,15566000000.0,8502000000.0,3719000000.0,-1109000000.0,,,,,-1609000000.0,-1609000000.0,11263000000.0,,,,,10596000000.0,43253000000.0,92000000.0,,,,9319000000.0,14046000000.0,14046000000.0,,,,,1277000000.0,1277000000.0,,,,,-54951000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRK-B,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2303000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
META,2023-12-31,43847000000.0,-19774000000.0,-1058000000.0,8455000000.0,,-27266000000.0,448000000.0,6607000000.0,42827000000.0,15596000000.0,27118000000.0,-19500000000.0,-19500000000.0,-7123000000.0,,,-19774000000.0,-19774000000.0,,7397000000.0,,7397000000.0,-1058000000.0,8455000000.0,-24495000000.0,-24495000000.0,-23000000.0,3202000000.0,6184000000.0,-2982000000.0,-629000000.0,-629000000.0,-27045000000.0,-27266000000.0,71113000000.0,71113000000.0,3836000000.0,,624000000.0,-80000000.0,5132000000.0,-220000000.0,51000000.0,,-2399000000.0,-2399000000.0,411000000.0,14027000000.0,131000000.0,131000000.0,11178000000.0,11178000000.0,39098000000.0,113000000.0,,,,,,,,,,5352000000.0,,,,221000000.0,,559000000.0,,2432000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
META,2022-12-31,19044000000.0,-27956000000.0,-850000000.0,9921000000.0,,-31431000000.0,0.0,6407000000.0,15596000000.0,16865000000.0,-631000000.0,-22136000000.0,-22136000000.0,-3251000000.0,,,-27956000000.0,-27956000000.0,,9071000000.0,,9071000000.0,-850000000.0,9921000000.0,-28970000000.0,-28970000000.0,-4000000.0,3532000000.0,13158000000.0,-9626000000.0,-1312000000.0,-1312000000.0,-31186000000.0,-31431000000.0,50475000000.0,50475000000.0,5683000000.0,,886000000.0,-106000000.0,4510000000.0,300000000.0,210000000.0,,231000000.0,231000000.0,1982000000.0,11992000000.0,-3286000000.0,-3286000000.0,8686000000.0,8686000000.0,23200000000.0,-638000000.0,,,,,,,,,,4210000000.0,,,,245000000.0,,162000000.0,463000000.0,2218000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
META,2021-12-31,38993000000.0,-44537000000.0,-677000000.0,0.0,,-18690000000.0,0.0,8525000000.0,16865000000.0,17954000000.0,-615000000.0,-50728000000.0,-50728000000.0,-5514000000.0,,,-44537000000.0,-44537000000.0,,-677000000.0,14000000.0,-677000000.0,-677000000.0,0.0,-7570000000.0,-7570000000.0,-331000000.0,12179000000.0,42586000000.0,-30407000000.0,-851000000.0,-851000000.0,-18567000000.0,-18690000000.0,57683000000.0,57683000000.0,700000000.0,187000000.0,941000000.0,-349000000.0,4968000000.0,1424000000.0,1436000000.0,,-3110000000.0,-3110000000.0,-127000000.0,9164000000.0,609000000.0,609000000.0,7967000000.0,7967000000.0,39370000000.0,-474000000.0,,,,,,,,,,3544000000.0,,,,123000000.0,,-1750000000.0,-232000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
META,2020-12-31,23584000000.0,-6272000000.0,-604000000.0,0.0,,-15163000000.0,,4229000000.0,17954000000.0,19279000000.0,-1604000000.0,-10292000000.0,-10292000000.0,-3416000000.0,,,-6272000000.0,-6272000000.0,,-604000000.0,24000000.0,-604000000.0,-604000000.0,0.0,-30059000000.0,-30059000000.0,-36000000.0,-14520000000.0,25771000000.0,-40291000000.0,-388000000.0,-388000000.0,-15115000000.0,-15163000000.0,38747000000.0,38747000000.0,-2723000000.0,108000000.0,-527000000.0,-34000000.0,-785000000.0,161000000.0,-17000000.0,,-1512000000.0,-1512000000.0,85000000.0,6536000000.0,-1192000000.0,-1192000000.0,6862000000.0,6862000000.0,29146000000.0,279000000.0,,,,,,,,,,-946000000.0,,,,48000000.0,,135000000.0,33000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
META,2019-12-31,,,,,,,,,,,,,,,,,,,,,-223000000.0,,,,,,,,,,,,,,,,,123000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
