ticker;year;total_assets;total_debt;invested_capital;working_capital;stockholders_equity;retained_earnings;long_term_debt;current_assets;current_liabilities;current_debt;payables_and_accrued_expenses;total_liabilities_net_minority_interest;accounts_payable;accounts_receivable;investments_and_advances;net_ppe;inventory;receivables;cash_and_cash_equivalents;cash_cash_equivalents_and_short_term_investments;goodwill;common_stock;share_issued
CSCO;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ACN;2020;37078593000;3485513000;17062408000;5087166000;17000536000;12375533000;54052000;17749756000;12662590000;7820000;8261972000;19579420000;1349874000;7846892000;324514000;4728914000;NULL;7846892000;8415330000;8509639000;7709820000;72000;658548895
ABT;2020;72548000000;19649000000;51531000000;8534000000;32784000000;27627000000;18527000000;20441000000;11907000000;220000000;11687000000;39545000000;3946000000;6414000000;821000000;9029000000;5012000000;8281000000;6838000000;7148000000;23744000000;24145000000;1981156896
DHR;2020;76161000000;22178000000;57702000000;6400000000;39766000000;27159000000;21193000000;13802000000;7402000000;11000000;2601000000;36384000000;2049000000;4045000000;NULL;3262000000;2292000000;4045000000;6035000000;6035000000;35420000000;9000000;851300000
NFLX;2020;39280359000;16308973000;27374213000;1955795000;11065240000;7573144000;15809095000;9761580000;7805785000;499878000;1758379000;28215119000;656183000;610819000;NULL;960183000;NULL;610819000;8205550000;8205550000;NULL;3447698000;442895261
LIN;2020;88229000000;17223000000;63471000000;-2816000000;47317000000;17178000000;12152000000;10924000000;13740000000;4002000000;6417000000;38647000000;3095000000;4167000000;2084000000;29801000000;1729000000;4590000000;3754000000;3754000000;28201000000;1000000;552012862
VZ;2020;316481000000;150547000000;196904000000;14934000000;67842000000;60464000000;123173000000;54594000000;39660000000;5889000000;23276000000;247209000000;6667000000;23917000000;589000000;117364000000;1796000000;23917000000;22171000000;22171000000;24773000000;429000000;4291433646
ADBE;2020;24284000000;4708000000;17381000000;2634000000;13264000000;19611000000;4117000000;8146000000;5512000000;NULL;1289000000;11020000000;306000000;1398000000;NULL;2004000000;NULL;1398000000;4478000000;5992000000;10742000000;0;601000000
NKE;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
TXN;2020;19351000000;7047000000;15985000000;7849000000;9187000000;42051000000;6248000000;10239000000;2390000000;550000000;1073000000;10164000000;415000000;1414000000;49000000;3269000000;1955000000;1414000000;3107000000;6568000000;4362000000;1741000000;1740815939
CRM;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3433000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NEE;2020;127684000000;48091000000;84604000000;-8176000000;36513000000;25363000000;41944000000;7382000000;15558000000;6147000000;6125000000;82755000000;4615000000;2263000000;13507000000;91803000000;1552000000;2974000000;1105000000;1105000000;4254000000;20000000;1960000000
PM;2020;44815000000;31536000000;18969000000;1877000000;-12567000000;31638000000;28168000000;21492000000;19615000000;3368000000;15058000000;55446000000;2780000000;2905000000;4798000000;6365000000;9591000000;3761000000;7280000000;7280000000;5964000000;0;2109316331
BMY;2020;118481000000;51673000000;88498000000;11112000000;37822000000;21281000000;48336000000;30192000000;19080000000;2340000000;4923000000;80599000000;2713000000;7219000000;4509000000;6745000000;2074000000;10554000000;14546000000;16450000000;20547000000;292000000;2900000000
COP;2020;62618000000;15369000000;44327000000;6700000000;29849000000;35213000000;14027000000;12066000000;5366000000;451000000;4139000000;32769000000;2698000000;2754000000;7880000000;39893000000;1002000000;2754000000;2991000000;7856000000;NULL;18000000;1798844267
QCOM;2020;35594000000;15726000000;21803000000;9847000000;6077000000;5284000000;15226000000;18519000000;8672000000;500000000;5337000000;29517000000;2248000000;2687000000;NULL;3711000000;2598000000;4003000000;6707000000;11214000000;6323000000;586000000;1131000000
HON;2020;64586000000;23212000000;39933000000;8978000000;17549000000;39905000000;16342000000;28175000000;19197000000;6042000000;8567000000;46789000000;5750000000;6827000000;685000000;5570000000;4489000000;6827000000;14275000000;15220000000;16058000000;958000000;957600000
MS;2020;1115860000000;232942000000;325473000000;NULL;101781000000;78694000000;218798000000;NULL;NULL;14144000000;227437000000;1012710000000;227437000000;97737000000;362330000000;21000000;NULL;97737000000;67452000000;NULL;11635000000;20000000;2038893979
ORCL;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RTX;2020;162153000000;33339000000;103986000000;7528000000;72163000000;49423000000;31026000000;43376000000;35848000000;797000000;19156000000;88269000000;8639000000;9254000000;3144000000;16842000000;9411000000;19185000000;8802000000;8802000000;54285000000;36930000000;1706173000
INTC;2020;153091000000;36401000000;117439000000;22495000000;81038000000;56233000000;33897000000;47249000000;24754000000;2504000000;13751000000;72053000000;5581000000;6782000000;7344000000;56584000000;8427000000;6782000000;5865000000;23895000000;26971000000;25556000000;4062000000
AMGN;2020;62948000000;32986000000;42395000000;9491000000;9409000000;-21408000000;32895000000;21144000000;11653000000;91000000;9990000000;53539000000;1421000000;4525000000;NULL;4889000000;3893000000;4525000000;6266000000;10647000000;14689000000;31802000000;578300000
SPGI;2020;12537000000;4754000000;4619000000;2401000000;509000000;13367000000;4110000000;5988000000;3587000000;NULL;317000000;9185000000;233000000;1593000000;NULL;778000000;NULL;1593000000;4108000000;4117000000;3735000000;294000000;294000000
IBM;2020;155971000000;65088000000;81930000000;-704000000;20597000000;162717000000;54217000000;39165000000;39869000000;7116000000;12863000000;135245000000;4033000000;5790000000;216000000;9770000000;1812000000;16994000000;13188000000;13788000000;53765000000;56556000000;2242969004
GS;2020;1163030000000;294389000000;376835000000;NULL;95932000000;112947000000;226018000000;NULL;NULL;66088000000;201256000000;1067100000000;190658000000;121331000000;412494000000;25427000000;NULL;128387000000;155842000000;NULL;4332000000;9000000;901692041
CAT;2020;78324000000;37163000000;52391000000;13747000000;15331000000;35167000000;25896000000;39464000000;25717000000;11164000000;11428000000;62946000000;6128000000;16780000000;NULL;12401000000;11402000000;16780000000;9352000000;9352000000;6394000000;6230000000;814894624
BLK;2020;176982000000;8019000000;42547000000;27678000000;35283000000;24334000000;7264000000;28706000000;1028000000;NULL;1028000000;139326000000;NULL;3535000000;6919000000;1330000000;NULL;3535000000;8664000000;8664000000;14551000000;2000000;172075373
UPS;2020;62408000000;27754000000;24969000000;3200000000;657000000;6896000000;21745000000;20216000000;17016000000;2567000000;10024000000;61739000000;6455000000;10750000000;23000000;35327000000;620000000;10750000000;5910000000;6316000000;3367000000;9000000;865000000
MDT;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SCHW;2020;549009000000;13632000000;61953000000;NULL;56060000000;21975000000;13626000000;NULL;NULL;0;104201000000;492949000000;104201000000;66199000000;339106000000;3820000000;NULL;67947000000;40348000000;NULL;11952000000;21000000;2074188875
UNP;2020;62398000000;28333000000;43238000000;41000000;16958000000;51326000000;25320000000;4214000000;4173000000;960000000;2191000000;45440000000;612000000;1505000000;2164000000;55092000000;638000000;1505000000;1799000000;1859000000;NULL;2781000000;1112227784
DE;2020;75091000000;46295000000;58761000000;27880000000;12937000000;31646000000;32581000000;51361000000;23481000000;13243000000;7127000000;62147000000;1926000000;4171000000;193000000;13115000000;4999000000;38655000000;7066000000;7707000000;3081000000;4895000000;536431204
LOW;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;372000000;NULL;NULL;NULL;NULL;NULL;303000000;NULL;NULL
GILD;2020;68407000000;31402000000;49604000000;4599000000;18202000000;14381000000;28645000000;15996000000;11397000000;2757000000;7189000000;50186000000;844000000;4892000000;502000000;4967000000;1683000000;4892000000;5997000000;7408000000;8108000000;1000000;1254000000
CVS;2020;230715000000;85042000000;134036000000;-5648000000;69389000000;49640000000;59207000000;56369000000;62017000000;5440000000;49112000000;161014000000;11138000000;9729000000;20812000000;33335000000;18496000000;21742000000;7854000000;10854000000;79552000000;46513000000;1733000000
SBUX;2020;29374500000;25258800000;8543200000;459600000;-7805100000;-7815600000;14659600000;7806400000;7346800000;1688700000;2952800000;37173900000;997900000;883400000;684800000;14375500000;1551400000;1395400000;4350900000;4632100000;3597200000;1200000;1173300000
INTU;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1338000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NOW;2020;8715000000;2135000000;4474000000;785000000;2834000000;-234000000;1640000000;4522000000;3737000000;NULL;464000000;5881000000;34000000;1009000000;1468000000;1114000000;NULL;1009000000;1677000000;3092000000;241000000;0;195844000
PLD;2020;56065005000;17336048000;48756675000;578391000;31971547000;-2394690000;16677282000;2187913000;1609522000;171794000;1253541000;19740425000;1143372000;189356000;7602014000;610501000;NULL;380377000;598086000;598086000;NULL;7394000;739381000
AXP;2020;191367000000;44830000000;67797000000;NULL;22984000000;13837000000;42935000000;NULL;NULL;1878000000;11754000000;168383000000;9444000000;43434000000;21631000000;5015000000;NULL;3000000000;32826000000;NULL;3852000000;161000000;805000000
MO;2020;47414000000;29471000000;32310000000;-1946000000;2839000000;34679000000;27971000000;7117000000;9063000000;1500000000;7563000000;44449000000;380000000;137000000;19529000000;2012000000;1966000000;137000000;4945000000;4945000000;5177000000;935000000;2805961317
BKNG;2020;21874000000;12380000000;16907000000;8781000000;4893000000;23288000000;11029000000;12206000000;3425000000;985000000;2117000000;16981000000;735000000;529000000;3759000000;1285000000;NULL;529000000;10562000000;11063000000;1895000000;0;63406451
T;2020;525761000000;179447000000;318918000000;-11430000000;161673000000;37457000000;153775000000;52008000000;63438000000;3470000000;52377000000;346521000000;31836000000;20215000000;1780000000;152029000000;3695000000;20215000000;9740000000;9740000000;135259000000;7621000000;7620748598
ISRG;2020;11168900000;NULL;9731500000;5660700000;9731500000;3261300000;NULL;6625900000;965200000;NULL;369500000;1409800000;81600000;645500000;1757700000;1577300000;601500000;726600000;1622600000;5171500000;336700000;400000;353100000
MMC;2020;33049000000;13579000000;20417000000;1599000000;9104000000;16272000000;10796000000;8155000000;6556000000;517000000;3297000000;23789000000;3050000000;4679000000;NULL;2750000000;NULL;5326000000;2089000000;2089000000;15517000000;561000000;560641640
EL;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LMT;2020;50710000000;12169000000;18184000000;5445000000;6015000000;21636000000;11669000000;19378000000;13933000000;500000000;4043000000;44672000000;880000000;1978000000;NULL;7213000000;3545000000;11523000000;3160000000;3160000000;10806000000;279000000;279000000
SYK;2020;34330000000;13991000000;27075000000;4666000000;13084000000;12462000000;13230000000;9707000000;5041000000;761000000;3355000000;21246000000;810000000;2701000000;NULL;2752000000;3494000000;2701000000;2943000000;3024000000;12778000000;38000000;376100000
BA;2020;152136000000;63851000000;45064000000;34362000000;-18316000000;38610000000;61752000000;121642000000;87280000000;1628000000;25797000000;170211000000;12928000000;2385000000;1016000000;11820000000;81715000000;10051000000;7752000000;25590000000;8081000000;5061000000;1012261159
ADP;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MDLZ;2020;67810000000;20516000000;47368000000;-5180000000;27578000000;28402000000;17094000000;9979000000;15159000000;2696000000;8339000000;40156000000;6209000000;2297000000;6036000000;9664000000;2647000000;2954000000;3619000000;3619000000;21895000000;0;1996537778
ZTS;2020;13609000000;7362000000;10968000000;4441000000;3769000000;5659000000;6595000000;6611000000;2170000000;604000000;1178000000;9836000000;457000000;1013000000;NULL;2394000000;1628000000;1013000000;3602000000;3602000000;2694000000;5000000;501891243
