ticker;year;total_assets;total_debt;invested_capital;working_capital;stockholders_equity;retained_earnings;long_term_debt;current_assets;current_liabilities;current_debt;payables_and_accrued_expenses;total_liabilities_net_minority_interest;accounts_payable;accounts_receivable;investments_and_advances;net_ppe;inventory;receivables;cash_and_cash_equivalents;cash_cash_equivalents_and_short_term_investments;goodwill;common_stock;share_issued
MRK;2021;105694000000;33102000000;71286000000;6394000000;38184000000;53696000000;30690000000;30266000000;23872000000;2412000000;21460000000;67437000000;4609000000;9230000000;370000000;19279000000;5953000000;9230000000;8096000000;8096000000;21264000000;1788000000;3577103522
ABBV;2021;146529000000;76684000000;92092000000;-7266000000;15408000000;3127000000;64189000000;27928000000;35194000000;12495000000;22699000000;131093000000;2882000000;9977000000;277000000;5110000000;3128000000;9977000000;9746000000;9830000000;32379000000;18000000;1803195293
PEP;2021;92377000000;40780000000;56377000000;-4437000000;16043000000;65165000000;36026000000;21783000000;26220000000;4308000000;14429000000;76226000000;9834000000;7172000000;2627000000;24427000000;4347000000;8680000000;5596000000;5988000000;18381000000;23000000;1867000000
KO;2021;94354000000;42761000000;65760000000;2595000000;22999000000;69094000000;38116000000;22545000000;19950000000;4645000000;14254000000;69494000000;4602000000;3512000000;18416000000;9920000000;3414000000;3512000000;9684000000;12625000000;19363000000;1760000000;7040128924
PFE;2021;181476000000;36998000000;114199000000;17022000000;77201000000;103394000000;34757000000;59693000000;42671000000;2241000000;9093000000;104014000000;5578000000;11479000000;21526000000;14882000000;9059000000;15745000000;1944000000;31069000000;49208000000;473000000;9471000000
AVGO;2021;75570000000;39730000000;64627000000;10305000000;24989000000;748000000;39401000000;16586000000;6281000000;264000000;1909000000;50581000000;1086000000;2071000000;NULL;2348000000;1297000000;2071000000;12163000000;12163000000;43450000000;0;4130000000
COST;2021;59268000000;10133000000;25055000000;64000000;17564000000;11666000000;6692000000;29505000000;29441000000;799000000;22039000000;41190000000;16278000000;1803000000;NULL;26382000000;14215000000;1803000000;11258000000;12175000000;NULL;4000000;441825000
TMO;2021;95123000000;34870000000;75663000000;6677000000;40793000000;35431000000;32333000000;20113000000;13436000000;2537000000;8244000000;54146000000;2867000000;7977000000;NULL;8333000000;5051000000;8945000000;4477000000;4477000000;41924000000;439000000;439154741
MCD;2021;53854300000;49349100000;31021700000;3128500000;-4601000000;57534700000;35622700000;7148500000;4020000000;NULL;3314500000;58455300000;1006800000;1872400000;1201200000;38272600000;55600000;1872400000;4709200000;4709200000;2782500000;16600000;1660600000
WMT;2021;252496000000;63246000000;125458000000;-2578000000;80925000000;88763000000;41194000000;90067000000;92645000000;3339000000;72305000000;164965000000;49141000000;6516000000;NULL;109848000000;44949000000;6516000000;17741000000;17741000000;28983000000;282000000;8463000000
CSCO;2021;97497000000;11526000000;52801000000;12855000000;41275000000;-654000000;9018000000;39112000000;26257000000;2508000000;3163000000;56222000000;2362000000;5766000000;NULL;2338000000;1559000000;10146000000;9175000000;24518000000;38168000000;42346000000;4217000000
ACN;2021;43175843000;3506634000;19595007000;3957644000;19529454000;13988748000;53473000;19666511000;15708867000;12080000;10723446000;23078729000;2274057000;9728212000;329526000;4821624000;NULL;9728212000;8168174000;8172468000;11125861000;72000;656590625
ABT;2021;75196000000;19006000000;53852000000;11134000000;35802000000;31528000000;17296000000;24239000000;13105000000;754000000;12351000000;39172000000;4408000000;6487000000;816000000;8959000000;5157000000;8833000000;9799000000;10249000000;23231000000;24470000000;1985273421
DHR;2021;83184000000;23272000000;64075000000;3508000000;45167000000;32827000000;22168000000;11648000000;8140000000;8000000;3351000000;38007000000;2569000000;4631000000;NULL;3790000000;2767000000;4631000000;2586000000;2586000000;41184000000;9000000;855700000
NFLX;2021;44584663000;15392895000;31242143000;-419141000;15849248000;12689372000;14693072000;8069825000;8488966000;699823000;2286834000;28735415000;837483000;804320000;NULL;1323453000;NULL;804320000;6027804000;6027804000;NULL;4024561000;445527585
LIN;2021;81605000000;15216000000;58242000000;-3484000000;44035000000;18710000000;11335000000;10159000000;13643000000;2872000000;6287000000;36164000000;3503000000;4499000000;2637000000;27019000000;1733000000;4829000000;2823000000;2823000000;27038000000;1000000;552012862
VZ;2021;366596000000;177930000000;232658000000;-10432000000;81790000000;71993000000;143425000000;36728000000;47160000000;7443000000;27542000000;283396000000;8040000000;23846000000;1061000000;127579000000;3055000000;23846000000;2921000000;2921000000;28603000000;429000000;4291433646
ADBE;2021;27241000000;4673000000;18920000000;1737000000;14797000000;23905000000;4123000000;8669000000;6932000000;NULL;1484000000;12444000000;312000000;1878000000;NULL;2116000000;NULL;1878000000;3844000000;5798000000;12668000000;0;601000000
NKE;2021;37740000000;12813000000;22182000000;16617000000;12767000000;3179000000;9413000000;26291000000;9674000000;2000000;6298000000;24973000000;2836000000;4463000000;NULL;8017000000;6854000000;4463000000;9889000000;13476000000;242000000;3000000;1578000000
TXN;2021;24676000000;8124000000;21074000000;11116000000;13333000000;45919000000;7241000000;13685000000;2569000000;500000000;774000000;11343000000;571000000;1701000000;NULL;5141000000;1910000000;1701000000;4631000000;9739000000;4362000000;1741000000;1741000000
CRM;2021;66301000000;6281000000;44166000000;4161000000;41493000000;5933000000;2673000000;21889000000;17728000000;NULL;4355000000;24808000000;4355000000;7786000000;3909000000;5663000000;NULL;7786000000;6195000000;11966000000;26318000000;1000000;919000000
NEE;2021;140912000000;54827000000;92029000000;-8149000000;37202000000;25911000000;50960000000;9288000000;17437000000;3867000000;8838000000;95488000000;6935000000;3378000000;15081000000;99348000000;1561000000;4108000000;639000000;639000000;4844000000;20000000;1963000000
PM;2021;41290000000;27806000000;17700000000;-1538000000;-10106000000;33082000000;24783000000;17717000000;19255000000;3023000000;15086000000;49498000000;3331000000;3123000000;4463000000;6168000000;8720000000;3940000000;4496000000;4496000000;6680000000;0;2109316331
BMY;2021;109314000000;45596000000;80499000000;11394000000;35946000000;23820000000;39605000000;33262000000;21868000000;4948000000;5267000000;73308000000;2949000000;7979000000;2713000000;6968000000;2095000000;12516000000;13979000000;17221000000;20502000000;292000000;2900000000
COP;2021;90661000000;19934000000;64079000000;4029000000;45406000000;40674000000;17753000000;16050000000;12021000000;920000000;10066000000;45255000000;5025000000;6670000000;7015000000;64911000000;1208000000;6670000000;5028000000;6591000000;NULL;21000000;2091562747
QCOM;2021;41240000000;15745000000;25695000000;8124000000;9950000000;9822000000;13701000000;20075000000;11951000000;2044000000;6665000000;31290000000;2750000000;2214000000;NULL;4559000000;3228000000;3579000000;7116000000;12414000000;7246000000;0;1125000000
HON;2021;64470000000;20631000000;38168000000;5864000000;18569000000;42827000000;14254000000;25372000000;19508000000;5345000000;9317000000;45221000000;6484000000;6830000000;1222000000;5562000000;5138000000;6830000000;10959000000;11523000000;17756000000;958000000;957600000
MS;2021;1188140000000;243168000000;340859000000;NULL;105441000000;89432000000;232831000000;NULL;NULL;10337000000;228685000000;1081540000000;228685000000;96018000000;373793000000;16000000;NULL;96018000000;86838000000;NULL;16833000000;20000000;2038893979
ORCL;2021;131107000000;84245000000;89483000000;31403000000;5238000000;-20120000000;75995000000;55567000000;24164000000;8250000000;745000000;125155000000;745000000;5409000000;NULL;7049000000;NULL;5409000000;30098000000;46554000000;43935000000;26533000000;2814000000
RTX;2021;161404000000;33142000000;104553000000;6601000000;73068000000;50265000000;31327000000;42050000000;35449000000;158000000;18913000000;86705000000;8751000000;9661000000;2848000000;16930000000;9178000000;21022000000;7832000000;7832000000;54436000000;37483000000;1708065000
INTC;2021;168406000000;38110000000;133501000000;31096000000;95391000000;68265000000;33510000000;58558000000;27462000000;4600000000;14536000000;73015000000;5747000000;9457000000;6298000000;63245000000;10776000000;9457000000;4827000000;29253000000;26963000000;28006000000;4070000000
AMGN;2021;61165000000;33309000000;40009000000;7201000000;6700000000;-24600000000;33222000000;19385000000;12184000000;87000000;10474000000;54465000000;1366000000;4895000000;NULL;5184000000;4086000000;5839000000;7989000000;8037000000;14890000000;32096000000;558300000
SPGI;2021;15026000000;4606000000;6146000000;4995000000;2032000000;15017000000;4114000000;8810000000;3815000000;NULL;295000000;9490000000;205000000;1650000000;165000000;667000000;NULL;1650000000;6497000000;6508000000;3506000000;294000000;294000000
IBM;2021;132001000000;55139000000;70604000000;-4080000000;18901000000;154209000000;44917000000;29539000000;33619000000;6786000000;10136000000;113005000000;3955000000;6754000000;1823000000;8916000000;1649000000;14977000000;6650000000;7250000000;55643000000;57319000000;2248577848
GS;2021;1463990000000;321879000000;418814000000;NULL;109926000000;131811000000;263466000000;NULL;NULL;56125000000;262437000000;1354060000000;251931000000;160673000000;400675000000;20386000000;NULL;170192000000;261036000000;NULL;4285000000;9000000;906430316
CAT;2021;82793000000;37789000000;54194000000;13608000000;16484000000;39282000000;25954000000;43455000000;29847000000;11756000000;14748000000;66277000000;8154000000;17375000000;NULL;12090000000;14038000000;17375000000;9254000000;9254000000;6324000000;6398000000;814894624
BLK;2021;152648000000;9318000000;45139000000;18796000000;37693000000;27688000000;7446000000;20193000000;1397000000;NULL;1397000000;113755000000;NULL;3789000000;7262000000;2383000000;NULL;3789000000;9323000000;9323000000;15351000000;2000000;172075373
UPS;2021;69405000000;25528000000;35760000000;7365000000;14253000000;16179000000;19505000000;24934000000;17569000000;2002000000;11342000000;55136000000;7523000000;12541000000;23000000;37037000000;717000000;12541000000;10255000000;10593000000;3692000000;9000000;870000000
MDT;2021;93083000000;26389000000;77746000000;14039000000;51428000000;28594000000;26316000000;22548000000;8509000000;2000000;6016000000;41481000000;2106000000;5462000000;NULL;5221000000;4313000000;5462000000;3593000000;10817000000;41961000000;0;1345400671
SCHW;2021;667270000000;23769000000;69982000000;NULL;56261000000;25992000000;18820000000;NULL;NULL;4855000000;125671000000;611009000000;125671000000;92817000000;393164000000;4284000000;NULL;95292000000;62975000000;NULL;11952000000;21000000;2074188875
UNP;2021;63525000000;31488000000;43890000000;-2193000000;14161000000;55049000000;27563000000;3551000000;5744000000;2166000000;2190000000;49364000000;752000000;1722000000;2241000000;55972000000;621000000;1722000000;960000000;1006000000;NULL;2781000000;1112440400
DE;2021;84114000000;48691000000;66820000000;30716000000;18431000000;36449000000;32888000000;58588000000;27872000000;15501000000;9319000000;65680000000;3173000000;4208000000;175000000;13213000000;6836000000;42693000000;8017000000;8745000000;3291000000;5054000000;536431204
LOW;2021;46735000000;26211000000;23217000000;3596000000;1437000000;1117000000;20668000000;22326000000;18730000000;1112000000;12118000000;45298000000;10884000000;NULL;200000000;22987000000;16193000000;NULL;4690000000;4690000000;311000000;366000000;731000000
GILD;2021;67952000000;26695000000;47764000000;3162000000;21069000000;16324000000;25179000000;14772000000;11610000000;1516000000;8668000000;46888000000;705000000;4493000000;1309000000;5121000000;1618000000;4493000000;5338000000;6520000000;8332000000;1000000;1254000000
CVS;2021;232999000000;75999000000;131251000000;-7799000000;75075000000;54906000000;51971000000;60008000000;67807000000;4205000000;56352000000;157618000000;12544000000;10469000000;23025000000;32018000000;17760000000;24431000000;9408000000;12525000000;79121000000;47377000000;1744000000
SBUX;2021;31392600000;23605100000;9294600000;1605000000;-5321200000;-6315700000;13616900000;9756400000;8151400000;998900000;4305100000;36707100000;1211600000;940000000;550200000;14605500000;1603900000;1133100000;6455700000;6617900000;3677300000;1200000;1180000000
INTU;2021;15516000000;2480000000;11903000000;2502000000;9869000000;12296000000;2034000000;5157000000;2655000000;NULL;641000000;5647000000;623000000;391000000;43000000;1160000000;NULL;646000000;2562000000;3870000000;5613000000;3000000;273235000
NOW;2021;10798000000;2214000000;5271000000;271000000;3695000000;-4000000;1484000000;5220000000;4949000000;92000000;634000000;7103000000;89000000;1390000000;1630000000;1357000000;NULL;1390000000;1728000000;3304000000;777000000;0;199608000
PLD;2021;58486220000;18163499000;51077979000;-61082000;33426873000;-1327828000;17223661000;1972640000;2033722000;491393000;1345330000;20744010000;1252767000;424240000;8610958000;577408000;NULL;593244000;556117000;556117000;NULL;7398000;739827000
AXP;2021;188548000000;40918000000;63081000000;NULL;22177000000;13474000000;38661000000;NULL;NULL;2243000000;13959000000;166371000000;10574000000;NULL;2591000000;4988000000;NULL;2700000000;21522000000;NULL;3804000000;153000000;761000000
MO;2021;39523000000;28044000000;26438000000;-2496000000;-1606000000;30664000000;26939000000;6083000000;8579000000;1105000000;7474000000;41129000000;449000000;0;13481000000;1553000000;1194000000;47000000;4544000000;4544000000;5177000000;935000000;2805961317
BKNG;2021;23641000000;11277000000;17104000000;6899000000;6178000000;24453000000;8937000000;13145000000;6246000000;1989000000;3351000000;17463000000;1586000000;1358000000;3175000000;1318000000;NULL;1358000000;11127000000;11152000000;2887000000;0;63584444
T;2021;551622000000;195832000000;343208000000;64538000000;166332000000;42350000000;151011000000;170768000000;106230000000;25865000000;41610000000;367767000000;29511000000;12313000000;6168000000;143473000000;3325000000;12313000000;19223000000;19223000000;92740000000;7621000000;7620748598
ISRG;2021;13555000000;87000000;11901100000;4695100000;11901100000;4760900000;NULL;5844900000;1149800000;NULL;410500000;1603500000;121200000;782700000;4415500000;1876400000;587100000;893000000;1290900000;4230900000;343600000;400000;357700000
MMC;2021;34388000000;13162000000;21959000000;1610000000;11009000000;18389000000;10933000000;8264000000;6654000000;17000000;3363000000;23166000000;3165000000;5093000000;NULL;2715000000;NULL;5586000000;1752000000;1752000000;16317000000;561000000;560641640
EL;2021;21971000000;8099000000;11626000000;4470000000;6057000000;12244000000;5537000000;9768000000;5298000000;32000000;3895000000;15023000000;1692000000;1702000000;NULL;4470000000;2505000000;1702000000;4958000000;4958000000;2616000000;6000000;590875063
LMT;2021;50873000000;11670000000;22629000000;5818000000;10959000000;21600000000;11670000000;19815000000;13997000000;6000000;3888000000;39914000000;780000000;1963000000;NULL;7597000000;2981000000;12542000000;3604000000;3604000000;10813000000;271000000;271000000
SYK;2021;34631000000;12479000000;27356000000;5468000000;14877000000;13480000000;12472000000;10017000000;4549000000;7000000;3450000000;19754000000;1129000000;3022000000;NULL;2833000000;3314000000;3022000000;2944000000;3019000000;12918000000;38000000;377500000
BA;2021;138552000000;58370000000;42923000000;26674000000;-14999000000;34408000000;56687000000;108666000000;81992000000;1235000000;18861000000;153398000000;9261000000;3026000000;975000000;10918000000;78823000000;11378000000;8052000000;16244000000;8068000000;5061000000;1012261159
ADP;2021;48772500000;3351700000;8678600000;2647000000;5670100000;19451100000;2985000000;40741800000;38094800000;23500000;3463600000;43102400000;141100000;2727400000;NULL;1146700000;NULL;2727400000;2575200000;2575200000;2338400000;63900000;638700000
MDLZ;2021;67092000000;19971000000;47542000000;-3666000000;28269000000;30806000000;17393000000;10342000000;14008000000;1880000000;8827000000;38769000000;6730000000;2337000000;5289000000;9271000000;2708000000;3188000000;3546000000;3546000000;21978000000;0;1996537778
ZTS;2021;13900000000;6743000000;11135000000;5133000000;4543000000;7186000000;6592000000;6930000000;1797000000;NULL;1338000000;9356000000;436000000;1133000000;NULL;2603000000;1923000000;1133000000;3482000000;3482000000;2682000000;5000000;501891243
GE;2021;198874000000;38032000000;75488000000;14397000000;40310000000;85110000000;30823000000;66349000000;51952000000;4361000000;34391000000;157262000000;16243000000;15620000000;50049000000;15609000000;15847000000;20927000000;15770000000;28067000000;26182000000;15000000;1099027213
AMT;2021;69887900000;52008600000;48335400000;-5337900000;5081200000;-1142400000;38685500000;3729400000;9067300000;4568700000;2582000000;60818300000;272400000;728900000;NULL;29009100000;NULL;1082400000;1949900000;1949900000;13350100000;4700000;466686781
TMUS;2021;206563000000;108817000000;143295000000;-2608000000;69102000000;-2812000000;68570000000;20891000000;23499000000;5623000000;11405000000;137461000000;6499000000;4194000000;NULL;70084000000;2567000000;8942000000;6631000000;6631000000;12188000000;0;1250751149
MU;2021;58849000000;7280000000;49905000000;13483000000;43933000000;39051000000;5972000000;19907000000;6424000000;1000000;5325000000;14916000000;1744000000;4920000000;1765000000;33764000000;4487000000;5311000000;7763000000;8633000000;1228000000;122000000;1216000000
PYPL;2021;75803000000;8049000000;29776000000;9545000000;21727000000;16535000000;8049000000;52574000000;43029000000;999000000;43029000000;54076000000;39038000000;36941000000;6797000000;1909000000;NULL;41787000000;5197000000;9391000000;11454000000;0;1300000000
C;2021;2291410000000;282347000000;465324000000;NULL;201972000000;184948000000;254374000000;NULL;NULL;27973000000;61430000000;2088740000000;61430000000;54340000000;700253000000;24328000000;NULL;54795000000;262033000000;NULL;21299000000;31000000;3099651835
CI;2021;154889000000;33670000000;80782000000;NULL;47112000000;32593000000;31125000000;NULL;NULL;2545000000;29286000000;107705000000;6655000000;19639000000;920000000;3995000000;NULL;20095000000;5081000000;6001000000;45811000000;4000000;394194000
CB;2021;200054000000;16168000000;75882000000;NULL;59714000000;47365000000;15169000000;NULL;NULL;999000000;7243000000;140340000000;7243000000;28901000000;111154000000;NULL;NULL;28901000000;1659000000;97913000000;15213000000;10985000000;474021114
APD;2021;26859200000;8219200000;21176900000;5577200000;13539700000;15678300000;7150300000;8376300000;2799100000;486900000;1772400000;12771200000;736800000;1451300000;1716200000;14020800000;453900000;1655100000;4468900000;5800800000;911500000;249400000;249455584
F;2021;257035000000;139485000000;186611000000;18269000000;48519000000;35769000000;88400000000;108996000000;90727000000;49692000000;23237000000;208413000000;22349000000;43913000000;4545000000;63500000000;12065000000;43913000000;20540000000;49593000000;619000000;41000000;4121000000
MRNA;2021;24669000000;916000000;14145000000;6943000000;14145000000;9958000000;NULL;16071000000;9128000000;NULL;2524000000;10524000000;302000000;3175000000;6843000000;1383000000;1441000000;3323000000;6848000000;10727000000;NULL;0;403000000
EQIX;2021;27918698000;14992526000;22485890000;1351147000;10882082000;-3904647000;11570721000;2957101000;1605954000;33087000;713722000;17036934000;84084000;681809000;245049000;16728193000;NULL;934548000;1536358000;1536358000;5372071000;91000;90872826
ICE;2021;193502000000;14170000000;36627000000;889000000;22709000000;14350000000;12397000000;154300000000;153411000000;1521000000;5607000000;170754000000;703000000;1208000000;NULL;1699000000;NULL;1208000000;607000000;607000000;21123000000;6000000;631000000
GM;2021;244718000000;110391000000;169123000000;7695000000;59744000000;41937000000;75659000000;82103000000;74408000000;33720000000;38227000000;178903000000;20391000000;34043000000;9677000000;79044000000;12988000000;34043000000;20067000000;28676000000;1900000000;15000000;1500000000
EW;2021;8502600000;690300000;6431600000;2148400000;5835900000;6068100000;595700000;3180700000;1032300000;NULL;664100000;2666700000;204500000;582200000;1834200000;1638700000;726700000;664900000;862800000;1466800000;1167900000;642000000;642000000
DUK;2021;169587000000;68263000000;113558000000;-5991000000;49296000000;3265000000;59684000000;9940000000;15931000000;6540000000;4792000000;118451000000;3531000000;3522000000;10858000000;106672000000;3111000000;3522000000;341000000;341000000;19303000000;1000000;769000000
SO;2021;127534000000;55470000000;81591000000;-1956000000;28165000000;10929000000;50120000000;8965000000;10921000000;3597000000;3393000000;94967000000;2169000000;1806000000;3824000000;93462000000;2355000000;2962000000;1798000000;1798000000;5280000000;5279000000;1061000000
REGN;2021;25434800000;2699700000;20748800000;10082400000;18768800000;18968300000;1980000000;14014900000;3932500000;NULL;2770800000;6666000000;564000000;6036500000;6838000000;3482200000;1951300000;6036500000;2885600000;5694700000;NULL;100000;128067727
PGR;2021;71132300000;4898800000;22636500000;NULL;18231600000;15339700000;4898800000;NULL;NULL;NULL;6069100000;52900700000;6069100000;14380000000;51514100000;1137300000;NULL;14380000000;187100000;45002800000;452700000;584400000;797600000
HUM;2021;44358000000;12494000000;28574000000;NULL;16080000000;23086000000;10541000000;NULL;NULL;1953000000;13124000000;28255000000;12798000000;1814000000;14113000000;3073000000;NULL;1814000000;3394000000;16586000000;11092000000;33000000;198648742
PSA;2021;17380908000;7475279000;12710456000;252508000;9335177000;-550416000;7475279000;734599000;482091000;NULL;482091000;7957370000;NULL;NULL;828763000;272471000;NULL;NULL;734599000;734599000;165843000;17513000;175134455
AAPL;2022;352755000000;132480000000;170741000000;-18577000000;50672000000;-3068000000;98959000000;135405000000;153982000000;21110000000;70667000000;302083000000;64115000000;28184000000;120805000000;52534000000;4946000000;60932000000;23646000000;48304000000;NULL;64849000000;15943425000
MSFT;2022;364840000000;61270000000;216323000000;74602000000;166542000000;84281000000;47032000000;169684000000;95082000000;2749000000;23067000000;198298000000;19000000000;44261000000;6891000000;87546000000;3742000000;44261000000;13931000000;104749000000;67524000000;86939000000;7464000000
GOOGL;2022;365264000000;29679000000;269001000000;95495000000;256144000000;195563000000;12857000000;164795000000;69300000000;NULL;39781000000;109120000000;5128000000;40258000000;30492000000;127049000000;2670000000;40258000000;21879000000;113762000000;28960000000;68184000000;12849000000
AMZN;2022;462675000000;140118000000;213193000000;-8602000000;146043000000;83193000000;67150000000;146791000000;155393000000;NULL;142166000000;316632000000;79600000000;42360000000;NULL;252838000000;34405000000;42360000000;53888000000;70026000000;20288000000;108000000;10757000000
NVDA;2022;44187000000;11831000000;37558000000;24494000000;26612000000;16235000000;10946000000;28829000000;4335000000;NULL;3520000000;17575000000;1783000000;4650000000;266000000;3607000000;2605000000;4650000000;1990000000;21208000000;4349000000;3000000;25060000000
BRK-B;2022;948465000000;122744000000;596168000000;NULL;473424000000;511127000000;120315000000;NULL;NULL;2429000000;49816000000;466784000000;NULL;37087000000;454745000000;196965000000;NULL;41179000000;35811000000;128585000000;78119000000;8000000;1658095
META;2022;185727000000;26591000000;135636000000;32523000000;125713000000;64799000000;9923000000;59549000000;27026000000;NULL;16162000000;60014000000;4990000000;13466000000;6201000000;92191000000;NULL;13466000000;14681000000;40738000000;20306000000;0;2614000000
TSLA;2022;82338000000;5748000000;46749000000;14208000000;44704000000;12885000000;1029000000;40917000000;26709000000;1016000000;20263000000;36440000000;15255000000;2952000000;NULL;36635000000;12839000000;2952000000;16253000000;22185000000;194000000;3000000;3164000000
UNH;2022;245705000000;57623000000;135395000000;-20168000000;77772000000;86156000000;54513000000;69069000000;89237000000;3110000000;56771000000;159358000000;56771000000;17681000000;43728000000;10128000000;NULL;30450000000;23365000000;27911000000;93352000000;9000000;934000000
JNJ;2022;187378000000;39642000000;116446000000;-508000000;76804000000;128345000000;26886000000;55294000000;55802000000;12756000000;36407000000;110574000000;9889000000;14039000000;NULL;17982000000;10268000000;16915000000;12889000000;22281000000;36047000000;3120000000;3119843000
V;2022;85501000000;22450000000;58031000000;9352000000;35581000000;16116000000;20200000000;30205000000;20853000000;2250000000;8803000000;49920000000;340000000;2020000000;2136000000;3223000000;NULL;3952000000;15689000000;18522000000;17787000000;21869000000;2112583000
XOM;2022;369067000000;41193000000;232943000000;28586000000;195049000000;432860000000;37260000000;97631000000;69045000000;634000000;68411000000;166594000000;33169000000;32844000000;34800000000;204692000000;24435000000;41749000000;29640000000;29640000000;NULL;15752000000;8019000000
PG;2022;117208000000;32293000000;77239000000;-11428000000;46589000000;112429000000;22848000000;21653000000;33081000000;8645000000;19347000000;70354000000;14882000000;5143000000;NULL;21195000000;6924000000;5143000000;7214000000;7214000000;39700000000;4009000000;4009200000
LLY;2022;49489800000;16238600000;26888400000;896300000;10649800000;10042600000;14737500000;18034500000;17138200000;1501100000;11731900000;38714400000;1930600000;6896000000;2901800000;10144000000;4309700000;8558900000;2067000000;2211800000;4073000000;594100000;950632000
MA;2022;38724000000;14023000000;20321000000;2435000000;6298000000;53607000000;13749000000;16606000000;14171000000;274000000;9821000000;32347000000;926000000;3425000000;1730000000;2006000000;NULL;3425000000;7008000000;7408000000;7522000000;0;1407000000
HD;2022;71876000000;46269000000;38390000000;362000000;-1696000000;67580000000;36604000000;29055000000;28693000000;3482000000;20785000000;73572000000;13462000000;2901000000;NULL;31167000000;22068000000;3426000000;2343000000;2343000000;7449000000;90000000;1792000000
CVX;2022;257709000000;23339000000;182173000000;16135000000;159282000000;190024000000;20972000000;50343000000;34208000000;1919000000;32244000000;97467000000;18955000000;20456000000;45238000000;143591000000;8247000000;20456000000;17678000000;17901000000;4722000000;1832000000;2442676580
MRK;2022;109160000000;30691000000;76682000000;11483000000;45991000000;61081000000;28745000000;35722000000;24239000000;1946000000;22293000000;63102000000;4264000000;9450000000;1015000000;21422000000;5911000000;9450000000;12694000000;13192000000;21204000000;1788000000;3577103522
ABBV;2022;138805000000;63271000000;80525000000;-1075000000;17254000000;4784000000;59135000000;28463000000;29538000000;4136000000;25402000000;121518000000;2934000000;11254000000;241000000;4935000000;3579000000;11254000000;9201000000;9229000000;32156000000;18000000;1813770294
PEP;2022;92187000000;39554000000;56220000000;-5246000000;17149000000;67800000000;35657000000;21539000000;26785000000;3414000000;15979000000;74914000000;10732000000;8192000000;3886000000;26664000000;5222000000;10163000000;4954000000;5348000000;18202000000;23000000;1867000000
KO;2022;92763000000;39149000000;63254000000;2867000000;24105000000;71019000000;36377000000;22591000000;19724000000;2772000000;15865000000;66937000000;5307000000;3487000000;18765000000;9841000000;4233000000;3487000000;9519000000;11631000000;18782000000;1760000000;7040000000
PFE;2022;197205000000;34859000000;130520000000;9121000000;95661000000;125656000000;31925000000;51259000000;42138000000;2934000000;10699000000;101289000000;6809000000;10952000000;15069000000;16274000000;8981000000;14529000000;416000000;22732000000;51375000000;476000000;9519000000
AVGO;2022;73249000000;39515000000;62165000000;11452000000;22709000000;1604000000;39053000000;18504000000;7052000000;403000000;2071000000;50540000000;998000000;2958000000;NULL;2223000000;1925000000;2958000000;12416000000;12416000000;43614000000;0;4180000000
COST;2022;64166000000;9039000000;27199000000;698000000;20642000000;15585000000;6484000000;32696000000;31998000000;73000000;24140000000;43519000000;17848000000;2241000000;NULL;27420000000;17907000000;2241000000;10203000000;11049000000;NULL;2000000;442664000
TMO;2022;97154000000;34488000000;78466000000;8219000000;43978000000;41910000000;28909000000;25229000000;17010000000;5579000000;8830000000;53006000000;3381000000;8115000000;NULL;9280000000;5634000000;9427000000;8524000000;8524000000;41196000000;441000000;440668112
MCD;2022;50435600000;48699000000;29900100000;1622100000;-6003400000;59543900000;35903500000;5424200000;3802100000;NULL;3141000000;56439000000;980200000;2115000000;1064500000;36339300000;52000000;2115000000;2583800000;2583800000;2900400000;16600000;1660600000
WMT;2022;244860000000;57323000000;121330000000;-6309000000;83253000000;86904000000;34864000000;81070000000;87379000000;3213000000;79613000000;152969000000;55261000000;8280000000;NULL;112624000000;56511000000;8280000000;14760000000;14760000000;29014000000;276000000;8283000000
CSCO;2022;94002000000;9515000000;49288000000;11077000000;39773000000;-1319000000;8416000000;36717000000;25640000000;1099000000;3242000000;54229000000;2281000000;6622000000;NULL;1997000000;2568000000;10527000000;7079000000;19267000000;38304000000;42714000000;4110000000
ACN;2022;47263390000;3325756000;22161165000;4087375000;22106097000;18203842000;45893000;21610871000;17523496000;9175000;12328675000;24516302000;2559485000;10484211000;317972000;4677675000;NULL;11776775000;7889833000;7893806000;13133293000;72000;664561282
ABT;2022;74438000000;17716000000;53459000000;9735000000;36686000000;35257000000;14522000000;25224000000;15489000000;2251000000;13238000000;37533000000;4607000000;6218000000;766000000;9162000000;6173000000;8881000000;9882000000;10170000000;22799000000;24709000000;1986519278
DHR;2022;84350000000;20616000000;68091000000;7494000000;50082000000;39205000000;19086000000;15883000000;8389000000;591000000;2552000000;34260000000;1856000000;4102000000;NULL;3709000000;2765000000;4102000000;5995000000;5995000000;37276000000;9000000;869300000
NFLX;2022;48594768000;14353076000;35130477000;1335499000;20777401000;17181296000;14353076000;9266473000;7930974000;NULL;2186163000;27817367000;671513000;988898000;NULL;1398257000;NULL;1586898000;5147176000;6058452000;NULL;4637601000;446911254
LIN;2022;79658000000;18791000000;57942000000;-3432000000;40028000000;20541000000;12198000000;13047000000;16479000000;5716000000;6132000000;38271000000;2995000000;4559000000;2534000000;24420000000;1978000000;4908000000;5436000000;5436000000;25817000000;1000000;552012862
