ticker;ebitda;ebit;total_expenses;diluted_eps;net_income;operating_expense;operating_income;operating_revenue;selling_general_and_administration;gross_profit;cost_of_revenue;total_revenue;interest_expense
CAT;2020;4509000000;37195000000;5,46;2998000000;7524000000;4553000000;41748000000;4642000000;12077000000;29671000000;41748000000;514000000
BLK;2020;6729000000;9892000000;31,7226;4932000000;1670000000;6313000000;16205000000;1564000000;7983000000;8222000000;16205000000;205000000
UPS;2020;2545000000;76944000000;1,64;1343000000;7600000000;7684000000;84628000000;NULL;15284000000;69344000000;84628000000;701000000
MDT;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SCHW;2020;NULL;NULL;2,12;3299000000;NULL;NULL;11691000000;4280000000;NULL;NULL;11691000000;418000000
UNP;2020;8121000000;11699000000;7,88;5349000000;1345000000;7834000000;18251000000;NULL;9179000000;10354000000;19533000000;1141000000
DE;2020;5130000000;30354000000;8,69;2751000000;6489000000;4368000000;34722000000;3677000000;10857000000;23865000000;34722000000;1247000000
LOW;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GILD;2020;2653000000;14762000000;0,1;123000000;10190000000;9927000000;24689000000;5151000000;20117000000;4572000000;24689000000;984000000
CVS;2020;12677000000;254795000000;5,46;7179000000;35135000000;13911000000;268706000000;NULL;49046000000;219660000000;268706000000;2907000000
SBUX;2020;1601400000;22000100000;0,79;928300000;3541200000;1517900000;21491700000;1679600000;5059100000;18458900000;23518000000;437000000
INTU;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NOW;2020;183000000;4320000000;0,59;119000000;3333000000;199000000;4519000000;2309000000;3532000000;987000000;4519000000;33000000
PLD;2020;2046995000;3036928000;2,01;1481814000;1866824000;1401807000;4438735000;274845000;3268631000;1170104000;4438735000;299907000
AXP;2020;NULL;NULL;3,77;3135000000;NULL;NULL;36239000000;9414000000;NULL;NULL;36239000000;2098000000
MO;2020;8113000000;9968000000;2,4;4467000000;2150000000;10873000000;26153000000;2150000000;13023000000;7818000000;20841000000;1223000000
BKNG;2020;923000000;6216000000;1,44;59000000;6216000000;580000000;6796000000;5459000000;NULL;NULL;6796000000;356000000
T;2020;5069000000;146475000000;-0,75;-5176000000;66555000000;25285000000;171760000000;38039000000;91840000000;79920000000;171760000000;7925000000
ISRG;2020;1049800000;3308600000;2,94;1060600000;1811400000;1049800000;4358400000;1216300000;2861200000;1497200000;4358400000;NULL
MMC;2020;3308000000;14158000000;3,94;2016000000;4029000000;3066000000;17224000000;NULL;7095000000;10129000000;17224000000;515000000
LMT;2020;8826000000;56754000000;24,3;6833000000;10000000;8644000000;65398000000;NULL;8654000000;56744000000;65398000000;591000000
SYK;2020;2240000000;12111000000;4,2;1599000000;6817000000;2240000000;14351000000;5361000000;9057000000;5294000000;14351000000;NULL
BA;2020;-12320000000;71136000000;-20,88;-11941000000;7293000000;-12978000000;58158000000;4817000000;-5685000000;63843000000;58158000000;2156000000
ADP;2020;NULL;NULL;5,7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MDLZ;2020;3806000000;22427000000;2,47;3555000000;6292000000;4154000000;26581000000;6098000000;10446000000;16135000000;26581000000;423000000
ZTS;2020;2227000000;4406000000;3,42;1638000000;2349000000;2269000000;6675000000;1726000000;4618000000;2057000000;6675000000;231000000
GE;2020;9485000000;75425000000;4,64;5704000000;17554000000;409000000;75834000000;14989000000;17963000000;57871000000;75834000000;3515000000
AMT;2020;2614600000;4913900000;3,79;1690600000;2686700000;3127600000;8041500000;778700000;5814300000;2227200000;8041500000;793500000
TMUS;2020;6231000000;61343000000;2,65;3064000000;33077000000;7054000000;67707000000;18926000000;40131000000;28266000000;68397000000;2701000000
MU;2020;3177000000;18375000000;2,37;2687000000;3492000000;3060000000;21435000000;881000000;6552000000;14883000000;21435000000;194000000
PYPL;2020;5274000000;18026000000;3,54;4202000000;8351000000;3428000000;21454000000;3931000000;11779000000;9675000000;21454000000;209000000
C;2020;NULL;NULL;4,87;11047000000;NULL;NULL;75494000000;23544000000;NULL;NULL;75494000000;13338000000
CI;2020;12306000000;149682000000;22,96;8458000000;NULL;NULL;160550000000;14072000000;NULL;NULL;160550000000;1438000000
CB;2020;4678000000;31890000000;7,79;3533000000;NULL;NULL;36052000000;2979000000;NULL;NULL;36052000000;516000000
APD;2020;2533100000;6618700000;8,49;1886700000;760600000;2237600000;8856300000;742100000;2998200000;5858100000;8856300000;109300000
F;2020;535000000;131552000000;-0,32;-1279000000;10193000000;-4408000000;127144000000;10193000000;5785000000;121359000000;127144000000;1651000000
MRNA;2020;-763000000;1037000000;-1,96;-747000000;1029000000;-763000000;274000000;188000000;266000000;8000000;274000000;9886000
EQIX;2020;922691000;4883677000;4,18;369777000;1809337000;1114868000;5998545000;1809337000;2924205000;3074340000;5998545000;406466000
ICE;2020;3123000000;5106000000;3,77;2089000000;1161000000;3138000000;8244000000;410000000;4299000000;3945000000;8244000000;357000000
GM;2020;9193000000;115851000000;4,33;6427000000;7038000000;6634000000;122485000000;7038000000;13672000000;108813000000;122485000000;1098000000
EW;2020;932500000;3069700000;1,3;823400000;1989100000;1316600000;4386300000;1228400000;3305700000;1080600000;4386300000;15800000
DUK;2020;3017000000;17828000000;1,72;1377000000;5815000000;5538000000;23366000000;NULL;11353000000;12013000000;23366000000;2097000000
SO;2020;5317000000;15555000000;2,95;3134000000;5077000000;4820000000;19694000000;NULL;9897000000;10478000000;20375000000;1821000000
